"STATION","NAME","DATE","AWND","CLDD","DSNW","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-01","10.5","0","1","945","2.50","3.2","34.5","41.1","27.9",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-02","10.3","0","6","893","4.65","30.6","33.1","38.7","27.5",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-03","11.0","2","0","601","3.20","0.0","45.7","55.3","36.1",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-04","10.5","9","0","324","2.19","0.0","54.5","64.7","44.3",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-05","9.8","95","0","116","4.55","0.0","64.3","74.7","53.9",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-06","8.9","337","0","0","4.36","0.0","76.2","86.6","65.8",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-07","8.1","428","0","0","8.91","0.0","78.8","87.5","70.2",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-08","7.4","464","0","0","7.19","0.0","80.0","87.9","72.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-09","9.6","227","0","3","10.50","0.0","72.4","80.5","64.4",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-10","8.9","63","0","80","5.65","0.0","64.4","72.4","56.5",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-11","8.7","0","0","538","0.89","0.1","47.1","55.9","38.2",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-12","8.7","0","0","636","1.28","0.1","44.5","51.2","37.8",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2022-01","11.0","0","4","1125","4.06","14.6","28.7","36.6","20.7",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2022-02","10.5","0","1","805","2.65","2.3","36.2","46.1","26.3",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2022-03","11.4","0","0","612","2.38","0.8","45.3","54.4","36.1",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2022-04","11.2","7","0","354","4.36","0.0","53.4","61.7","45.1",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2022-05","8.7","118","0","80","5.23","0.0","66.2","75.2","57.3",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2022-06","8.9","281","0","0","2.40","0.0","74.4","83.7","65.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2022-07","8.9","545","0","0","0.55","0.0","82.6","92.1","73.1",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2022-08","8.3","480","0","0","1.92","0.0","80.5","89.5","71.4",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2022-09","8.7","178","0","37","3.74","0.0","69.7","78.4","60.9",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2022-10","8.7","5","0","286","5.97","0.0","55.9","64.9","47.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2022-11","9.8","19","0","440","2.77","0.0","51.0","59.8","42.2",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2022-12","10.3","0","0","826","4.53","0.1","38.4","45.9","30.8",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2023-01","9.2","0","0","650","4.31","0.0","44.0","50.6","37.4",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2023-02","9.8","0","1","676","1.41","2.0","40.8","49.8","31.9",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2023-03","11.4","0","0","622","3.33","0.6","44.9","53.1","36.7",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2023-04","9.6","37","0","248","8.07","0.0","58.0","67.9","48.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2023-05","8.9","50","0","95","0.90","0.0","63.5","74.0","53.1",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2023-06","8.1","204","0","6","2.67","0.0","71.6","80.7","62.5",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2023-07","7.4","483","0","0","6.26","0.0","80.6","89.1","72.1",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2023-08","8.5","362","0","0","4.26","0.0","76.7","84.5","68.8",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2023-09","9.2","212","0","26","8.31","0.0","71.2","78.9","63.5",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2023-10","8.1","53","0","148","4.02","0.0","62.0","70.6","53.3",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2023-11","9.2","0","0","551","2.91","0.0","46.7","55.7","37.6",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2023-12","8.3","0","0","641","7.56","0.0","44.3","50.8","37.9",
